"Locality" "AA" "length(AA)" "BB" "length(BB)" "AB" "length(AB)"
"1" "Oslo_Brann_1" 0 6 NA NA NA NA
"2" "Oslo_Brann_1" 1 3 NA NA NA NA
"3" "Oslo_Brann_2" 0 2 NA NA NA NA
"4" "Oslo_Brann_2" 0.999 1 NA NA NA NA
"5" "Oslo_Brann_2" 1 3 NA NA NA NA
"6" "Oslo_Brann_3" 0 3 NA NA NA NA
"7" "Oslo_Brann_3" 1 5 NA NA NA NA
"8" "Oslo_Brann_4" 0.5 1 NA NA NA NA
"9" "Oslo_Brann_4" 0.997 1 NA NA NA NA
"10" "Oslo_Brann_4" 1 3 NA NA NA NA
"11" "Oslo_Brann_5" 0 1 NA NA NA NA
"12" "Oslo_Brann_5" 1 1 NA NA NA NA
"13" "Oslo_Brann_6" 1 2 NA NA NA NA
"14" "Oslo_Brann_7" 1 1 NA NA NA NA
"15" "Oslo_Brann_1" NA NA 0 3 NA NA
"16" "Oslo_Brann_1" NA NA 1 6 NA NA
"17" "Oslo_Brann_2" NA NA 0 4 NA NA
"18" "Oslo_Brann_2" NA NA 1 2 NA NA
"19" "Oslo_Brann_3" NA NA 0 6 NA NA
"20" "Oslo_Brann_3" NA NA 1 2 NA NA
"21" "Oslo_Brann_4" NA NA 0 5 NA NA
"22" "Oslo_Brann_5" NA NA 0 1 NA NA
"23" "Oslo_Brann_5" NA NA 1 1 NA NA
"24" "Oslo_Brann_6" NA NA 0 2 NA NA
"25" "Oslo_Brann_7" NA NA 0 1 NA NA
"26" "Oslo_Brann_1" NA NA NA NA 0 9
"27" "Oslo_Brann_2" NA NA NA NA 0 5
"28" "Oslo_Brann_2" NA NA NA NA 0.001 1
"29" "Oslo_Brann_3" NA NA NA NA 0 7
"30" "Oslo_Brann_3" NA NA NA NA 1 1
"31" "Oslo_Brann_4" NA NA NA NA 0 3
"32" "Oslo_Brann_4" NA NA NA NA 0.003 1
"33" "Oslo_Brann_4" NA NA NA NA 0.5 1
"34" "Oslo_Brann_5" NA NA NA NA 0 2
"35" "Oslo_Brann_6" NA NA NA NA 0 2
"36" "Oslo_Brann_7" NA NA NA NA 0 1
